Track,Year,Driver,X,Y,Speed,DRS
Australian Grand Prix,2022,LEC,-1163.1893569319427,-1363.402128972811,304.7906256,On
Australian Grand Prix,2022,LEC,-1217.0,-1312.0,305.6343744,On
Australian Grand Prix,2022,LEC,-1239.6268245953922,-1290.3635930522764,306.0,On
Australian Grand Prix,2022,LEC,-1328.0,-1206.0,307.0142866285714,On
Australian Grand Prix,2022,LEC,-1450.627711459486,-1089.8466133350614,308.0,On
Australian Grand Prix,2022,LEC,-1552.0,-994.0,308.0,On
Australian Grand Prix,2022,LEC,-1632.8428036123212,-917.3468033252534,308.0,On
Australian Grand Prix,2022,LEC,-1713.0,-841.0,310.0125024,On
Australian Grand Prix,2022,LEC,-1782.1102227930312,-775.2064167149277,311.0,On
Australian Grand Prix,2022,LEC,-1964.0,-602.0,311.0,On
Australian Grand Prix,2022,LEC,-1978.5506122184388,-588.1276942558169,311.0,On
Australian Grand Prix,2022,LEC,-2140.3950322129413,-433.9197666114628,311.0,On
Australian Grand Prix,2022,LEC,-2152.0,-423.0,311.0,On
Australian Grand Prix,2022,LEC,-2202.0,-376.0,311.0,On
Australian Grand Prix,2022,LEC,-2239.554832294724,-340.5952429132431,311.0,On
Australian Grand Prix,2022,LEC,-2339.836059701679,-245.4574627933481,311.0,On
Australian Grand Prix,2022,LEC,-2378.0,-209.0,311.2178578285714,On
Australian Grand Prix,2022,LEC,-2478.0,-113.0,311.7892864,On
Australian Grand Prix,2022,LEC,-2514.41378712372,-78.12347399441029,312.0,On
Australian Grand Prix,2022,LEC,-3151.0,523.0,261.7014602822317,On
Australian Grand Prix,2022,LEC,-3233.5386186973865,601.2952705999081,256.0,"Detected, Eligible"
Australian Grand Prix,2022,LEC,-3363.9053266880373,727.8903764624265,235.0,"Detected, Eligible"
Australian Grand Prix,2022,LEC,-3365.0,729.0,234.77141394285715,"Detected, Eligible"
Australian Grand Prix,2022,LEC,-3475.3729760590577,851.3789689244503,203.0,"Detected, Eligible"
Australian Grand Prix,2022,LEC,-3510.0,894.0,192.874992,"Detected, Eligible"
Australian Grand Prix,2022,LEC,-3520.4608293906344,907.0728467238227,188.0,"Detected, Eligible"
Australian Grand Prix,2022,LEC,-3538.6761152651243,932.5121814250708,177.0,"Detected, Eligible"
Australian Grand Prix,2022,LEC,-3539.0,933.0,176.93999616,"Detected, Eligible"
Australian Grand Prix,2022,LEC,-3623.0,1075.0,166.13999616,"Detected, Eligible"
Australian Grand Prix,2022,LEC,-3630.200839500913,1090.6711046234686,165.0,"Detected, Eligible"
Australian Grand Prix,2022,LEC,-3649.0,1139.0,162.96666453333333,"Detected, Eligible"
Australian Grand Prix,2022,LEC,-3662.036324000813,1183.547025719073,161.0,"Detected, Eligible"
Australian Grand Prix,2022,LEC,-3670.0,1247.0,161.0,"Detected, Eligible"
Australian Grand Prix,2022,LEC,-3666.8277882198863,1358.3070768676264,161.0,"Detected, Eligible"
Australian Grand Prix,2022,LEC,-3665.0,1382.0,161.5250016,"Detected, Eligible"
Australian Grand Prix,2022,LEC,-3647.660401423752,1484.3039707303603,165.0,"Detected, Eligible"
Australian Grand Prix,2022,LEC,-3639.0,1521.0,168.8250048,"Detected, Eligible"
Australian Grand Prix,2022,LEC,-3633.523091565804,1544.947229015681,171.0,"Detected, Eligible"
Australian Grand Prix,2022,LEC,-3626.0,1577.0,172.5500032,"Detected, Eligible"
Australian Grand Prix,2022,LEC,-3598.477237720094,1687.0795473206529,176.0,"Detected, Eligible"
Australian Grand Prix,2022,LEC,-3579.0,1764.0,181.4708437333333,"Detected, Eligible"
Australian Grand Prix,2022,LEC,-3564.0069480546817,1824.3302124619263,189.0,"Detected, Eligible"
Australian Grand Prix,2022,LEC,-3557.0,1878.0,194.5250048,"Detected, Eligible"
Australian Grand Prix,2022,LEC,-3553.1675104166343,1943.7448606148143,198.0,"Detected, Eligible"
Australian Grand Prix,2022,LEC,-3551.399423330226,2040.458797869053,204.0,"Detected, Eligible"
Australian Grand Prix,2022,LEC,-3553.0,2076.0,205.83000576,"Detected, Eligible"
Australian Grand Prix,2022,LEC,-3557.0,2122.0,208.26000384,"Detected, Eligible"
Australian Grand Prix,2022,LEC,-3560.6163583238767,2155.4668956756755,210.0,"Detected, Eligible"
Australian Grand Prix,2022,LEC,-3574.0,2251.0,211.62000128,"Detected, Eligible"
Australian Grand Prix,2022,LEC,-3578.0082765897005,2273.29779246761,212.0,"Detected, Eligible"
Australian Grand Prix,2022,LEC,-3605.652986663997,2389.8356236633213,218.0,"Detected, Eligible"
Australian Grand Prix,2022,LEC,-3606.0,2391.0,218.0621158010895,"Detected, Eligible"
Australian Grand Prix,2022,LEC,-3638.258820708383,2483.4349403165265,223.0,"Detected, Eligible"
Australian Grand Prix,2022,LEC,-3662.0,2539.0,225.2093792,"Detected, Eligible"
Australian Grand Prix,2022,LEC,-3716.0,2639.0,229.1468792,"Detected, Eligible"
Australian Grand Prix,2022,LEC,-3734.762421115252,2668.392859172105,230.0,"Detected, Eligible"
Australian Grand Prix,2022,LEC,-3819.0,2790.0,232.7416704,"Detected, Eligible"
Australian Grand Prix,2022,LEC,-3942.660679754282,2935.8041042024524,237.0,"Detected, Eligible"
Australian Grand Prix,2022,LEC,-4014.0,3008.0,237.0,"Detected, Eligible"
Australian Grand Prix,2022,LEC,-4041.82387424242,3034.9874725857967,237.0,"Detected, Eligible"
Australian Grand Prix,2022,LEC,-4181.408305338427,3158.850795328388,245.0,On
Australian Grand Prix,2022,LEC,-4234.0,3204.0,247.16428982857144,On
Australian Grand Prix,2022,LEC,-4343.266682193315,3297.8439867098814,251.0,On
Australian Grand Prix,2022,LEC,-4461.0,3400.0,255.30714697142852,On
Australian Grand Prix,2022,LEC,-4496.362245557597,3431.3992437711304,257.0,On
Australian Grand Prix,2022,LEC,-4621.0,3547.0,263.8370954847767,On
Australian Grand Prix,2022,LEC,-4650.41362030503,3574.4114558424726,265.0,On
Australian Grand Prix,2022,LEC,-4729.0,3648.0,267.958336,On
Australian Grand Prix,2022,LEC,-4778.877139917346,3695.692480040678,270.0,On
Australian Grand Prix,2022,LEC,-4880.0,3795.0,273.18500224,On
Australian Grand Prix,2022,LEC,-5051.535067722144,3966.517899342196,277.0,On
Australian Grand Prix,2022,LEC,-5053.0,3968.0,277.01000064,On
Australian Grand Prix,2022,LEC,-5174.4111637263695,4092.919844953899,278.0,On
Australian Grand Prix,2022,LEC,-5258.0,4181.0,281.03333546666664,On
Australian Grand Prix,2022,LEC,-5281.461752407624,4205.7953051459135,282.0,On
Australian Grand Prix,2022,LEC,-5398.0,4331.0,285.7750016,On
Australian Grand Prix,2022,LEC,-5447.222080941919,4385.396445058499,287.0,On
Australian Grand Prix,2022,LEC,-5537.0,4486.0,289.0250016,On
Australian Grand Prix,2022,LEC,-5579.578602473299,4534.379605083629,290.0,On
Australian Grand Prix,2022,LEC,-5675.0,4644.0,291.9500013714286,On
Australian Grand Prix,2022,LEC,-5722.476606483308,4698.786407338202,293.0,On
Australian Grand Prix,2022,LEC,-5770.0,4755.0,293.2562504,On
Australian Grand Prix,2022,LEC,-5968.66425681582,4998.651487933773,294.0,On
Australian Grand Prix,2022,LEC,-5985.0,5019.0,294.2750016,On
Australian Grand Prix,2022,LEC,-6067.531407436108,5123.144267908602,296.0,On
Australian Grand Prix,2022,LEC,-6126.79805536112,5200.893698871627,297.0,On
Australian Grand Prix,2022,LEC,-6167.0,5254.0,297.61000064,On
Australian Grand Prix,2022,LEC,-6191.975532247415,5286.943140355512,298.0,On
Australian Grand Prix,2022,LEC,-6243.52581529039,5355.087343628978,299.0,On
Australian Grand Prix,2022,LEC,-6315.0,5453.0,299.0,On
Australian Grand Prix,2022,LEC,-6416.172370801553,5594.246033681272,299.0,On
Australian Grand Prix,2022,LEC,-6460.0,5656.0,299.0,On
Australian Grand Prix,2022,LEC,-6522.46413752708,5744.851443358823,299.0,On
Australian Grand Prix,2022,LEC,-6632.801278973449,5906.063944052324,298.0,On
Australian Grand Prix,2022,LEC,-6675.0,5969.0,294.187496,On
Australian Grand Prix,2022,LEC,-6728.627826412591,6050.406295826634,288.0,Off
Australian Grand Prix,2022,LEC,-6760.0,6098.0,269.5124768,Off
Australian Grand Prix,2022,LEC,-6781.120143513055,6129.856712156745,259.0,Off
Australian Grand Prix,2022,LEC,-6829.0,6202.0,242.6119178863818,Off
Australian Grand Prix,2022,LEC,-6857.522380039887,6245.253242336075,232.0,Off
Australian Grand Prix,2022,LEC,-6898.0,6307.0,221.91665066666667,Off
Australian Grand Prix,2022,LEC,-6935.835482762032,6364.941826221584,212.0,Off
Australian Grand Prix,2022,LEC,-6990.0,6448.0,195.70998272,Off
Australian Grand Prix,2022,LEC,-6995.474957718388,6456.372602266631,194.0,Off
Australian Grand Prix,2022,LEC,-7060.2554710211525,6557.253516935141,170.0,Off
Australian Grand Prix,2022,LEC,-7070.0,6574.0,166.30998272,Off
Australian Grand Prix,2022,LEC,-7079.0,6590.0,162.70998272,Off
Australian Grand Prix,2022,LEC,-7100.158053338943,6625.823557960772,152.0,Off
Australian Grand Prix,2022,LEC,-7123.828196270531,6667.654827897154,146.0,Off
Australian Grand Prix,2022,LEC,-7124.0,6668.0,145.93332053333333,Off
Australian Grand Prix,2022,LEC,-7171.076946598603,6774.415543542018,130.0,Off
Australian Grand Prix,2022,LEC,-7183.0,6805.0,127.52499413333334,Off
Australian Grand Prix,2022,LEC,-7198.216622114856,6864.85986916901,119.0,Off
Australian Grand Prix,2022,LEC,-7200.0,6875.0,118.2312464,Off
Australian Grand Prix,2022,LEC,-7208.0,6924.0,115.2312464,Off
Australian Grand Prix,2022,LEC,-7210.138957178318,6960.602257581515,113.0,Off
Australian Grand Prix,2022,LEC,-7210.0,6985.0,111.37999616,Off
Australian Grand Prix,2022,LEC,-7208.30403976532,7020.544435924198,109.0,Off
