Race,Year,Overtakes,Number of Position Changes,% of Position Changes from Overtakes
Australian Grand Prix,2022,34,194,17.525773195876287
Japanese Grand Prix,2022,28,142,19.718309859154928
Miami Grand Prix,2022,52,212,24.528301886792452
Australian Grand Prix,2023,29,141,20.56737588652482
Japanese Grand Prix,2023,29,239,12.133891213389122
Miami Grand Prix,2023,62,227,27.312775330396477
Australian Grand Prix,2024,24,224,10.714285714285714
Chinese Grand Prix,2024,53,297,17.845117845117844
Japanese Grand Prix,2024,48,222,21.62162162162162
Miami Grand Prix,2024,41,192,21.354166666666664
Australian Grand Prix,2025,45,93,48.38709677419355
Chinese Grand Prix,2025,72,230,31.30434782608696
Japanese Grand Prix,2025,28,148,18.91891891891892
Miami Grand Prix,2025,80,139,57.55395683453237
Australian Grand Prix,2026,120,159,75.47169811320755
Chinese Grand Prix,2026,146,206,70.87378640776699
Japanese Grand Prix,2026,106,185,57.2972972972973
Miami Grand Prix,2026,140,192,72.91666666666666
