Driver,Team,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,SpeedST,Position,Deleted,Race,Year,Engine
VER,Red Bull Racing,1.0,0 days 00:01:30.342000,,0 days 00:00:18.652000,0 days 00:00:36.822000,238.0,2.0,False,Australian Grand Prix,2022,Honda
VER,Red Bull Racing,2.0,0 days 00:01:24.831000,0 days 00:00:29.719000,0 days 00:00:18.536000,0 days 00:00:36.576000,278.0,2.0,False,Australian Grand Prix,2022,Honda
VER,Red Bull Racing,3.0,0 days 00:01:46.175000,0 days 00:00:29.540000,0 days 00:00:27.197000,0 days 00:00:49.438000,279.0,2.0,False,Australian Grand Prix,2022,Honda
VER,Red Bull Racing,4.0,0 days 00:02:14.272000,0 days 00:00:40.308000,0 days 00:00:30.646000,0 days 00:01:03.318000,252.0,2.0,False,Australian Grand Prix,2022,Honda
VER,Red Bull Racing,5.0,0 days 00:02:13.529000,0 days 00:00:44.387000,0 days 00:00:30.247000,0 days 00:00:58.895000,236.0,2.0,False,Australian Grand Prix,2022,Honda
VER,Red Bull Racing,6.0,0 days 00:02:24.064000,0 days 00:00:44.760000,0 days 00:00:31.637000,0 days 00:01:07.667000,152.0,2.0,False,Australian Grand Prix,2022,Honda
VER,Red Bull Racing,7.0,0 days 00:01:24.167000,0 days 00:00:29.265000,0 days 00:00:18.606000,0 days 00:00:36.296000,293.0,2.0,False,Australian Grand Prix,2022,Honda
VER,Red Bull Racing,8.0,0 days 00:01:23.966000,0 days 00:00:29.356000,0 days 00:00:18.449000,0 days 00:00:36.161000,283.0,2.0,False,Australian Grand Prix,2022,Honda
VER,Red Bull Racing,9.0,0 days 00:01:23.780000,0 days 00:00:29.161000,0 days 00:00:18.447000,0 days 00:00:36.172000,285.0,2.0,False,Australian Grand Prix,2022,Honda
VER,Red Bull Racing,10.0,0 days 00:01:23.754000,0 days 00:00:29.252000,0 days 00:00:18.483000,0 days 00:00:36.019000,281.0,2.0,False,Australian Grand Prix,2022,Honda
VER,Red Bull Racing,11.0,0 days 00:01:24.634000,0 days 00:00:29.144000,0 days 00:00:18.337000,0 days 00:00:37.153000,282.0,2.0,False,Australian Grand Prix,2022,Honda
VER,Red Bull Racing,12.0,0 days 00:01:24.554000,0 days 00:00:29.347000,0 days 00:00:18.431000,0 days 00:00:36.776000,281.0,2.0,False,Australian Grand Prix,2022,Honda
VER,Red Bull Racing,13.0,0 days 00:01:24.658000,0 days 00:00:29.370000,0 days 00:00:18.524000,0 days 00:00:36.764000,277.0,2.0,False,Australian Grand Prix,2022,Honda
VER,Red Bull Racing,14.0,0 days 00:01:24.525000,0 days 00:00:29.339000,0 days 00:00:18.561000,0 days 00:00:36.625000,283.0,2.0,False,Australian Grand Prix,2022,Honda
VER,Red Bull Racing,15.0,0 days 00:01:24.556000,0 days 00:00:29.267000,0 days 00:00:18.549000,0 days 00:00:36.740000,285.0,2.0,False,Australian Grand Prix,2022,Honda
VER,Red Bull Racing,16.0,0 days 00:01:24.572000,0 days 00:00:29.241000,0 days 00:00:18.610000,0 days 00:00:36.721000,286.0,2.0,False,Australian Grand Prix,2022,Honda
VER,Red Bull Racing,17.0,0 days 00:01:24.508000,0 days 00:00:29.283000,0 days 00:00:18.576000,0 days 00:00:36.649000,283.0,2.0,False,Australian Grand Prix,2022,Honda
VER,Red Bull Racing,18.0,0 days 00:01:39.466000,0 days 00:00:29.368000,0 days 00:00:18.600000,0 days 00:00:51.498000,283.0,7.0,False,Australian Grand Prix,2022,Honda
VER,Red Bull Racing,19.0,0 days 00:01:29.085000,0 days 00:00:34.759000,0 days 00:00:18.542000,0 days 00:00:35.784000,227.0,7.0,False,Australian Grand Prix,2022,Honda
VER,Red Bull Racing,20.0,0 days 00:01:23.217000,0 days 00:00:28.832000,0 days 00:00:18.376000,0 days 00:00:36.009000,283.0,5.0,False,Australian Grand Prix,2022,Honda
VER,Red Bull Racing,21.0,0 days 00:01:23.129000,0 days 00:00:28.886000,0 days 00:00:18.348000,0 days 00:00:35.895000,282.0,4.0,False,Australian Grand Prix,2022,Honda
VER,Red Bull Racing,22.0,0 days 00:01:22.533000,0 days 00:00:28.436000,0 days 00:00:18.391000,0 days 00:00:35.706000,304.0,3.0,False,Australian Grand Prix,2022,Honda
VER,Red Bull Racing,23.0,0 days 00:01:29.765000,0 days 00:00:28.838000,0 days 00:00:18.343000,0 days 00:00:42.584000,283.0,2.0,False,Australian Grand Prix,2022,Honda
VER,Red Bull Racing,24.0,,0 days 00:00:54.111000,0 days 00:00:38.383000,0 days 00:00:58.957000,198.0,2.0,False,Australian Grand Prix,2022,Honda
VER,Red Bull Racing,25.0,0 days 00:02:29.037000,0 days 00:00:55.401000,0 days 00:00:35.310000,0 days 00:00:58.326000,128.0,2.0,False,Australian Grand Prix,2022,Honda
VER,Red Bull Racing,26.0,,0 days 00:00:55.223000,0 days 00:00:31.182000,0 days 00:01:12.658000,161.0,2.0,False,Australian Grand Prix,2022,Honda
VER,Red Bull Racing,27.0,0 days 00:01:26.331000,0 days 00:00:31.242000,0 days 00:00:18.616000,0 days 00:00:36.473000,291.0,2.0,False,Australian Grand Prix,2022,Honda
VER,Red Bull Racing,28.0,0 days 00:01:24.187000,0 days 00:00:29.330000,0 days 00:00:18.426000,0 days 00:00:36.431000,277.0,2.0,False,Australian Grand Prix,2022,Honda
VER,Red Bull Racing,29.0,0 days 00:01:23.448000,0 days 00:00:29.181000,0 days 00:00:18.371000,0 days 00:00:35.896000,280.0,2.0,False,Australian Grand Prix,2022,Honda
VER,Red Bull Racing,30.0,0 days 00:01:23.125000,0 days 00:00:29.010000,0 days 00:00:18.366000,0 days 00:00:35.749000,277.0,2.0,False,Australian Grand Prix,2022,Honda
VER,Red Bull Racing,31.0,0 days 00:01:22.981000,0 days 00:00:28.803000,0 days 00:00:18.335000,0 days 00:00:35.843000,281.0,2.0,False,Australian Grand Prix,2022,Honda
VER,Red Bull Racing,32.0,0 days 00:01:22.657000,0 days 00:00:28.760000,0 days 00:00:18.280000,0 days 00:00:35.617000,281.0,2.0,False,Australian Grand Prix,2022,Honda
VER,Red Bull Racing,33.0,0 days 00:01:22.752000,0 days 00:00:28.769000,0 days 00:00:18.398000,0 days 00:00:35.585000,282.0,2.0,False,Australian Grand Prix,2022,Honda
VER,Red Bull Racing,34.0,0 days 00:01:22.460000,0 days 00:00:28.583000,0 days 00:00:18.342000,0 days 00:00:35.535000,283.0,2.0,False,Australian Grand Prix,2022,Honda
VER,Red Bull Racing,35.0,0 days 00:01:22.846000,0 days 00:00:28.673000,0 days 00:00:18.374000,0 days 00:00:35.799000,284.0,2.0,False,Australian Grand Prix,2022,Honda
